<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<MA_8>,<MA_16>,<turn 8 5 3 6 0 False>,<turn 8 3 3 6 0 False>,<turn 16 8 8 0 10 False>,<MA_12>,<turn 12 5 3 6 0 False>,<turn 12 3 3 6 0 False>,<turn 8 5 3 6 10.0 False>,<turn 8 3 3 6 10.0 False>,<turn 12 5 3 6 10.0 False>,<turn 12 3 3 6 10.0 False>,<turn 16 5 3 6 10.0 False>,<turn 16 3 3 6 10.0 False>
2008-01-25 20:00:00,94.9143,95.1867,94.8723,95.01899999999999,3506.0,94.18717,93.36838,0.0,0.0,0.0,93.69446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-28 04:00:00,94.1598,94.4427,94.0655,94.1074,1656.0,94.45234,93.60014,0.0,0.0,0.0,93.98061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-28 08:00:00,94.1074,94.1284,93.4473,93.573,7466.0,94.48611,93.73111999999999,94.48611,94.48611,0.0,94.10205,0.0,0.0,94.48611,94.48611,0.0,0.0,0.0,0.0
2008-01-28 12:00:00,93.594,94.0865,93.0281,93.6883,83332.0,94.434,93.84976999999999,0.0,0.0,0.0,94.18708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-28 16:00:00,93.6883,95.7211,93.5625,95.2496,145301.0,94.25587,93.89269,0.0,0.0,0.0,94.16506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-28 20:00:00,95.2496,95.522,95.1553,95.3544,2648.0,94.11296,93.93375999999999,-94.11296,-94.11296,0.0,94.13577,0.0,0.0,-94.11296,-94.11296,0.0,0.0,0.0,0.0
2008-01-29 00:00:00,95.3544,95.6163,95.281,95.3858,750.0,94.32865,94.13963000000001,0.0,0.0,0.0,94.33299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-29 04:00:00,95.3858,95.3963,94.9667,95.281,1182.0,94.53968,94.33357,0.0,0.0,0.0,94.49809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-29 08:00:00,95.2915,96.0774,95.01899999999999,95.8573,7436.0,94.7344,94.50591999999999,0.0,0.0,0.0,94.64654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-29 12:00:00,95.8573,96.2765,94.6523,95.5954,75217.0,94.89769,94.64153,0.0,0.0,0.0,94.76409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
